apt	3.3.3+kali1
apt-utils	3.3.3+kali1
base-files	1:2026.3.1
base-passwd	3.6.8+b1
bash	5.3-3+b1
bc	1.07.1-4+b2
bind9-dnsutils	1:9.20.27-2
bind9-host	1:9.20.27-2
bind9-libs:arm64	1:9.20.27-2
bsdutils	1:2.42.2-4
ca-certificates	20260601
coreutils	9.10-1
curl	8.21.0-2
dash	0.5.12-12+b1
dbus	1.16.2-5+b1
dbus-bin	1.16.2-5+b1
dbus-daemon	1.16.2-5+b1
dbus-session-bus-common	1.16.2-5
dbus-system-bus-common	1.16.2-5
debconf	1.5.92
debian-archive-keyring	2025.1
debianutils	5.24
diffutils	1:3.12-1+b1
dmsetup	2:1.02.205-2+b2
dpkg	1.23.7+kali1
e2fsprogs	1.47.4-1+b1
ethtool	1:7.1-1
findutils	4.11.0-2
gcc-16-base:arm64	16.2.0-1
git	1:2.53.0-1
git-man	1:2.53.0-1
grep	3.12-1+b1
gzip	1.14-1
hostname	3.25+b1
init-system-helpers	1.69+nmu1+kali1
iproute2	7.1.0-1
iputils-ping	3:20250605-1+b1
jq	1.8.2-1
kali-archive-keyring	2025.2
kali-defaults	2026.3.2
kmod	34.2-2kali1
less	668-1+b1
libacl1:arm64	2.4.0-1
libapparmor1:arm64	4.1.8-2
libapt-pkg7.0:arm64	3.3.3+kali1
libatomic1:arm64	16.2.0-1
libattr1:arm64	1:2.6.0-1
libaudit-common	1:4.1.2-1
libaudit1:arm64	1:4.1.2-1+b2
libblas3:arm64	3.12.1-8
libblkid1:arm64	2.42.2-4
libbluetooth3:arm64	5.87-1
libbpf1:arm64	1:1.7.0-1
libbrotli1:arm64	1.2.0-4+b1
libbsd0:arm64	0.12.2-3
libbz2-1.0:arm64	1.0.8-6+b2
libc-bin	2.43-4
libc-gconv-modules-extra:arm64	2.43-4
libc-l10n	2.43-4
libc6:arm64	2.43-4
libcap-ng0:arm64	0.9.3-1+b1
libcap2:arm64	1:2.78-1+b1
libcap2-bin	1:2.78-1+b1
libcbor0.10:arm64	0.10.2-2.2
libcom-err2:arm64	1.47.4-1+b1
libcrypt1:arm64	1:4.5.2+20251210-1
libcurl3t64-gnutls:arm64	8.21.0-2
libcurl4-gnutls:arm64	8.21.0-2
libcurl4t64:arm64	8.21.0-2
libdb5.3t64:arm64	5.3.28+dfsg2-11+b1
libdbus-1-3:arm64	1.16.2-5+b1
libdebconfclient0:arm64	0.283
libdevmapper1.02.1:arm64	2:1.02.205-2+b2
libedit2:arm64	3.1-20260512-1
libelf1t64:arm64	0.196-1
liberror-perl	0.17030-1
libevent-core-2.1-7t64:arm64	2.1.13-stable-1
libexpat1:arm64	2.8.4-1
libext2fs2t64:arm64	1.47.4-1+b1
libffi8:arm64	3.8.0-2
libfido2-1:arm64	1.17.0-2
libfstrm0:arm64	0.6.1-1+b4
libgcc-s1:arm64	16.2.0-1
libgdbm-compat4t64:arm64	1.26-1+b2
libgdbm6t64:arm64	1.26-1+b2
libglib2.0-0t64:arm64	2.88.3-2
libgmp10:arm64	2:6.3.0+dfsg-5+b2
libgnutls30t64:arm64	3.8.13-1
libgssapi-krb5-2:arm64	1.22.1-3
libhogweed6t64:arm64	3.10.2-1+b1
libidn2-0:arm64	2.3.8-5
libjansson4:arm64	2.15.1-1
libjemalloc2:arm64	5.3.1-2
libjq1:arm64	1.8.2-1
libjson-c5:arm64	0.19+ds-1
libk5crypto3:arm64	1.22.1-3
libkeyutils1:arm64	1.6.3-6+b2
libkmod2:arm64	34.2-2kali1
libkrb5-3:arm64	1.22.1-3
libkrb5support0:arm64	1.22.1-3
libldap2:arm64	2.6.14+dfsg-2
liblinear4:arm64	2.3.0+dfsg-5+b3
liblmdb0:arm64	0.9.35-1
liblua5.4-0:arm64	5.4.9-1
liblz4-1:arm64	1.10.0-10
liblzma5:arm64	5.8.3-1
libmaxminddb0:arm64	1.13.3-1
libmd0:arm64	1.2.0-2
libmm-glib0:arm64	1.24.2-2+b1
libmnl0:arm64	1.0.5-3+b2
libmount1:arm64	2.42.2-4
libncursesw6:arm64	6.6+20260608-2
libndp0:arm64	1.9-1+b2
libnettle8t64:arm64	3.10.2-1+b1
libnghttp2-14:arm64	1.70.0-1
libnghttp3-9:arm64	1.17.0-1
libngtcp2-16:arm64	1.24.0-1
libngtcp2-crypto-gnutls8:arm64	1.24.0-1
libngtcp2-crypto-ossl0:arm64	1.24.0-1
libnm0:arm64	1.58.1-1
libonig5:arm64	6.9.10-1+b1
libp11-kit0:arm64	0.26.5-1
libpam-modules:arm64	1.7.0-8
libpam-modules-bin	1.7.0-8
libpam-runtime	1.7.0-8
libpam0g:arm64	1.7.0-8
libparted2t64:arm64	3.7-1
libpcap0.8t64:arm64	1.10.6-2
libpcre2-8-0:arm64	10.48-2
libperl5.42:arm64	5.42.3-1
libproc2-1:arm64	2:4.0.6-3
libprotobuf-c1:arm64	1.5.1-1+b2
libpsl5t64:arm64	0.23.3-1
libpython3-stdlib:arm64	3.14.7-3
libpython3.14-minimal:arm64	3.14.7-3
libpython3.14-stdlib:arm64	3.14.7-3
libreadline8t64:arm64	8.3-4
libsasl2-2:arm64	2.1.28+dfsg1-11
libsasl2-modules-db:arm64	2.1.28+dfsg1-11
libseccomp2:arm64	2.6.1-1+b1
libselinux1:arm64	3.11-2
libsemanage-common	3.11-1
libsemanage2:arm64	3.11-1+b1
libsepol2:arm64	3.11-1
libsmartcols1:arm64	2.42.2-4
libsqlite3-0:arm64	3.53.4-2
libss2:arm64	1.47.4-1+b1
libssh2-1t64:arm64	1.11.1-6
libssl3t64:arm64	3.6.3-1
libstdc++6:arm64	16.2.0-1
libsystemd-shared:arm64	261.2-1
libsystemd0:arm64	261.2-1
libtasn1-6:arm64	4.21.0-2+b1
libtext-charwidth-perl:arm64	0.04-12+b1
libtext-wrapi18n-perl	0.06-11
libtinfo6:arm64	6.6+20260608-2
libtirpc-common	1.3.7+ds-1
libtirpc3t64:arm64	1.3.7+ds-1
libudev1:arm64	261.2-1
libunistring5:arm64	1.4.2-1
liburcu8t64:arm64	0.15.6-1+b1
libuuid1:arm64	2.42.2-4
libuv1t64:arm64	1.52.1-4
libwrap0:arm64	7.6.q-37
libwtmpdb0	0.75.0-6
libxml2-16:arm64	2.15.4+dfsg-1
libxtables12:arm64	1.8.13-1
libxxhash0:arm64	0.8.3-2+b2
libzstd1:arm64	1.5.7+dfsg-4
locales	2.43-4
login	1:4.16.0-2+really2.42.2-4
login.defs	1:4.19.3-2
logsave	1.47.4-1+b1
mawk	1.3.4.20260302-1
media-types	14.0.0
mount	2.42.2-4
mtr-tiny	0.96-2
ncurses-base	6.6+20260608-2
ncurses-bin	6.6+20260608-2
netbase	6.6
netcat-openbsd	1.238-1
network-manager	1.58.1-1
nmap	7.99+dfsg-1kali1
nmap-common	7.99+dfsg-1kali1
openssh-common	1:10.4p1-5
